Recency,Frequency,Monetary,Last_Review,Labels,Last_Order
99,1,112.42,5.0,3,2018-07-10
135,1,121.7,4.0,3,2018-06-04
120,1,92.5,1.0,1,2018-06-19
115,1,78.5,5.0,3,2018-06-24
155,1,87.32,5.0,3,2018-05-15
105,1,94.13,5.0,3,2018-07-04
78,1,76.52,5.0,3,2018-07-31
187,1,114.15,4.0,3,2018-04-13
151,1,102.94,5.0,3,2018-05-19
104,1,117.48,4.0,3,2018-07-05
111,1,79.14,5.0,3,2018-06-28
140,1,151.61,5.0,3,2018-05-30
138,1,113.31,4.0,3,2018-06-01
102,1,115.67,5.0,3,2018-07-07
128,1,116.33,5.0,3,2018-06-11
167,1,117.96,5.0,3,2018-05-03
57,1,135.95,3.0,3,2018-08-21
176,1,109.99,5.0,3,2018-04-24
180,1,98.09,5.0,3,2018-04-20
92,1,76.6,5.0,3,2018-07-17
166,1,82.32,5.0,3,2018-05-04
159,1,96.26,2.0,1,2018-05-11
100,1,87.11,5.0,3,2018-07-09
184,1,138.57,5.0,3,2018-04-16
120,1,151.05,5.0,3,2018-06-19
124,1,92.17,4.0,3,2018-06-15
116,1,136.04,5.0,3,2018-06-23
168,1,136.6,5.0,3,2018-05-02
91,1,118.35,5.0,3,2018-07-18
65,1,143.1,5.0,3,2018-08-13
187,1,100.44,4.0,3,2018-04-13
134,1,88.36,5.0,3,2018-06-05
169,1,134.38,5.0,3,2018-05-01
160,1,132.9,4.0,3,2018-05-10
130,1,109.89,4.0,3,2018-06-09
157,1,107.7,5.0,3,2018-05-13
64,1,107.59,5.0,3,2018-08-14
101,1,83.79,3.0,3,2018-07-08
173,1,103.0,1.0,1,2018-04-27
97,1,112.46,4.0,3,2018-07-12
88,1,152.0,5.0,3,2018-07-21
63,1,121.9,3.0,3,2018-08-15
159,1,105.54,5.0,3,2018-05-11
67,1,132.56,5.0,3,2018-08-11
84,1,88.83,5.0,3,2018-07-25
168,1,99.9,5.0,3,2018-05-02
69,1,131.46,5.0,3,2018-08-09
161,1,92.1,5.0,3,2018-05-09
147,1,119.2,5.0,3,2018-05-23
66,1,120.21,5.0,3,2018-08-12
64,1,127.26,4.0,3,2018-08-14
92,1,96.65,3.0,3,2018-07-17
133,1,124.61,5.0,3,2018-06-06
153,1,87.32,1.0,1,2018-05-17
141,1,88.07,5.0,3,2018-05-29
167,1,124.6,5.0,3,2018-05-03
186,1,113.56,5.0,3,2018-04-14
115,1,116.83,5.0,3,2018-06-24
98,1,108.5,5.0,3,2018-07-11
153,1,89.36,5.0,3,2018-05-17
94,1,136.7,5.0,3,2018-07-15
77,1,83.68,4.0,3,2018-08-01
80,1,75.68,5.0,3,2018-07-29
88,1,78.64,5.0,3,2018-07-21
181,1,113.78,5.0,3,2018-04-19
99,1,78.64,4.0,3,2018-07-10
93,1,121.79,5.0,3,2018-07-16
182,1,87.32,1.0,1,2018-04-18
164,1,134.89,5.0,3,2018-05-06
154,1,88.92,5.0,3,2018-05-16
191,1,135.54,4.0,3,2018-04-09
168,1,79.97,5.0,3,2018-05-02
133,1,96.43,4.0,3,2018-06-06
116,1,76.68,3.0,3,2018-06-23
88,1,114.77,5.0,3,2018-07-21
195,1,88.96,5.0,3,2018-04-05
102,1,98.56,5.0,3,2018-07-07
71,1,85.52,5.0,3,2018-08-07
132,1,147.48,5.0,3,2018-06-07
111,1,94.74,5.0,3,2018-06-28
78,1,108.53,4.0,3,2018-07-31
137,1,76.33,4.0,3,2018-06-02
51,1,103.83,4.0,3,2018-08-27
172,1,96.26,5.0,3,2018-04-28
64,1,89.73,5.0,3,2018-08-14
167,1,90.28,4.0,3,2018-05-03
143,1,123.79,4.0,3,2018-05-27
146,1,97.03,5.0,3,2018-05-24
163,1,131.45,1.0,1,2018-05-07
78,1,134.3,5.0,3,2018-07-31
65,1,131.06,5.0,3,2018-08-13
92,1,110.74,5.0,3,2018-07-17
177,1,106.9,5.0,3,2018-04-23
151,1,106.53,1.0,1,2018-05-19
119,1,92.79,5.0,3,2018-06-20
111,1,95.45,5.0,3,2018-06-28
137,1,92.5,4.0,3,2018-06-02
193,1,139.99,5.0,3,2018-04-07
118,1,98.67,4.0,3,2018-06-21
173,1,136.41,4.0,3,2018-04-27
156,1,118.38,5.0,3,2018-05-14
62,1,144.21,4.0,3,2018-08-16
153,1,106.17,5.0,3,2018-05-17
168,1,124.39,1.0,1,2018-05-02
85,1,99.75,5.0,3,2018-07-24
146,1,104.62,5.0,3,2018-05-24
174,1,99.9,5.0,3,2018-04-26
173,1,112.02,5.0,3,2018-04-27
85,1,80.31,5.0,3,2018-07-24
105,1,99.65,5.0,3,2018-07-04
132,1,89.36,5.0,3,2018-06-07
91,1,132.81,5.0,3,2018-07-18
125,1,114.94,5.0,3,2018-06-14
73,1,110.66,4.0,3,2018-08-05
70,1,117.8,5.0,3,2018-08-08
74,1,104.22,3.0,3,2018-08-04
162,1,139.8,5.0,3,2018-05-08
71,1,87.58,5.0,3,2018-08-07
